Booking_ID,number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,repeated,P-C,P-not-C,average price,special requests,date of reservation,cancellation_probability,prediction,prediction_label
INN00001,1,1,2,5,Meal Plan 1,0,Room_Type 1,224,Offline,0,0,0,88.0,0,10/2/2015,0.0314,0,Not_Canceled
INN00002,1,0,1,3,Not Selected,0,Room_Type 1,5,Online,0,0,0,106.68,1,11/6/2018,0.1296,0,Not_Canceled
INN00003,2,1,1,3,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,50.0,0,2/28/2018,0.5042,1,Canceled
INN00004,1,0,0,2,Meal Plan 1,0,Room_Type 1,211,Online,0,0,0,100.0,1,5/20/2017,0.9523,1,Canceled
INN00005,1,0,1,2,Not Selected,0,Room_Type 1,48,Online,0,0,0,77.0,0,4/11/2018,0.7406,1,Canceled
INN00026,2,0,0,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,114.3,1,4/28/2018,0.255,0,Not_Canceled
INN00121,2,0,0,3,Meal Plan 1,0,Room_Type 1,317,Online,0,0,0,106.2,1,9/1/2018,0.9976,1,Canceled
INN00501,2,0,2,1,Meal Plan 1,0,Room_Type 2,44,Offline,0,0,0,95.0,0,4/23/2018,0.1078,0,Not_Canceled
INN01001,2,0,0,4,Meal Plan 1,0,Room_Type 4,18,Online,0,0,0,112.8,0,5/31/2018,0.7277,1,Canceled
INN02501,1,0,0,1,Meal Plan 1,0,Room_Type 1,4,Online,0,0,0,95.0,1,4/8/2018,0.0316,0,Not_Canceled
